tag,seeds,runs,train_rows,test_rows,macro_f1_mean,macro_f1_sd,accuracy_mean,elapsed_seconds_mean,peak_torch_memory_mb_mean,fusion_runs
content1000,"100,101,102",3,1000,400,0.8719269882963255,0.005308967483616992,0.88,22.459959533337194,1975.1512044270833,0
qwen1000_compact_concat,"100,101,102",3,1000,400,0.8721322321146037,0.005074676869576993,0.8808333333333334,24.470603733333217,2011.0986328125,0
qwen1000_compact_late_fusion,"100,101,102",3,1000,400,0.8762637385624457,0.0029336503792367725,0.8841666666666667,46.54670276667457,2010.8642578125,3
qwen1000_structured_concat,"100,101,102",3,1000,400,0.8672538664039801,0.01117857541382564,0.8758333333333334,29.624384533332584,2226.9075520833335,0
qwen400_compact_concat,"100,101,102",3,400,400,0.8430371279777827,0.017455412133077677,0.8525,10.095328299988372,2011.0986328125,0
qwen400_compact_late_fusion,"100,101,102",3,400,400,0.848753067253047,0.00605148267183755,0.8566666666666668,19.0346361999885,2010.8642578125,3
qwen400_structured_concat,"100,101,102",3,400,400,0.824415736597026,0.016586855508604965,0.8375,12.355217533321897,2226.4075520833335,0
