condition,accuracy,precision,recall,f1,precision_pos,recall_pos,f1_pos,macro_precision,macro_recall,macro_f1,macro_f1_ci95_low,macro_f1_ci95_high,size,alpha_content,alpha_explanation,threshold,oof_macro_f1,selection
content,0.8325,0.852,0.8765432098765432,0.8640973630831643,0.852,0.8765432098765432,0.8640973630831643,0.8260000000000001,0.8204372100338131,0.8229281603689438,0.7825138446047994,0.8605987677457112,1000,,,,,
structured_concat,0.8375,0.8647540983606558,0.8683127572016461,0.86652977412731,0.8647540983606558,0.8683127572016461,0.86652977412731,0.8298129466162253,0.8290608371995491,0.8294310212489585,0.7902810926742238,0.8670126820492934,1000,,,,,
structured_late_fusion,0.845,0.8786610878661087,0.8641975308641975,0.8713692946058091,0.8786610878661087,0.8641975308641975,0.8713692946058091,0.8368460718833649,0.8397420775340096,0.8382003705733448,0.7997316403981335,0.8753150468306088,1000,0.5,0.5,0.5200000000000001,0.8009585253840407,"{'field': 'qwen_background_structured', 'folds': 5, 'selection_seed': 20260718, 'alpha_content': 0.5, 'alpha_explanation': 0.5, 'threshold': 0.5200000000000001, 'oof_macro_f1': 0.8009585253840407, 'grid_alpha': [0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0], 'grid_threshold': [0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58, 0.59, 0.6]}"
