preset,method,seed,macro_f1,macro_precision,macro_recall,f1_positive,precision_positive,recall_positive,accuracy,positive_rate,confusion_matrix,delta_vs_paper_pp
base_ce,Base RoBERTa + CE,100,0.7876056990982196,0.7848278694537422,0.794360844909568,0.822571482673736,0.8583283935981031,0.7896746046173423,0.7933620024258463,0.5580549123387364,"[[2851, 717], [1157, 4344]]",-0.4694300901780357
base_ce,Base RoBERTa + CE,101,0.7547307753528351,0.7585878102092072,0.7708510550058978,0.7793144918821407,0.8684386866205048,0.7067805853481185,0.7571948395633477,0.4936597199250193,"[[2979, 589], [1613, 3888]]",-3.7569224647164945
base_ce,Base RoBERTa + CE,102,0.7677127214954452,0.7697643858866156,0.7825876848318651,0.7933260502532525,0.8743432574430823,0.7260498091256136,0.7705369941559158,0.503693902304554,"[[2994, 574], [1507, 3994]]",-2.4587278504554777
base_ce,Base RoBERTa + CE,103,0.7843278040045336,0.781682875459371,0.7917477346149049,0.8187868416048678,0.8582818417380905,0.7827667696782403,0.789833498731944,0.5532032197596207,"[[2857, 711], [1195, 4306]]",-0.7972195995466391
base_ce,Base RoBERTa + CE,104,0.7860668260712964,0.7835770249681616,0.7900843853909969,0.825272574783338,0.8466539196940727,0.8049445555353572,0.7932517366854118,0.5766898224721579,"[[2766, 802], [1073, 4428]]",-0.6233173928703595
dapt_ce,DAPT RoBERTa + CE,100,0.7898500198149725,0.7871599611018902,0.7975878366591317,0.8231486769465067,0.8639360639360639,0.7860389020178149,0.7951262542727975,0.5518800308744073,"[[2887, 681], [1177, 4324]]",-0.24499801850275116
dapt_ce,DAPT RoBERTa + CE,101,0.802297616623787,0.8055337907677786,0.7997557313264689,0.848273394167114,0.8351241853091421,0.8618433012179604,0.8129893042231778,0.6259786084463557,"[[2632, 936], [760, 4741]]",0.9997616623786953
dapt_ce,DAPT RoBERTa + CE,102,0.7912224455095556,0.7957217751973262,0.7879731457305357,0.8411780407509565,0.8238062042523527,0.8592983093982912,0.8031756533245121,0.632704818612857,"[[2557, 1011], [774, 4727]]",-0.10775544904444434
dapt_ce,DAPT RoBERTa + CE,103,0.7763612152298284,0.7772011578505647,0.7902454343808667,0.8027224304596567,0.8775070088419237,0.7396836938738411,0.7794685191311059,0.5113022383945308,"[[3000, 568], [1432, 4069]]",-1.5938784770171632
dapt_ce,DAPT RoBERTa + CE,104,0.8019913131231895,0.8003503101228129,0.8040137219241834,0.8412917471708529,0.8517138599105812,0.8311216142519542,0.8097915977505789,0.5919064946521115,"[[2772, 796], [929, 4572]]",0.9691313123189493
base_rdrop,Base RoBERTa + R-Drop,100,0.7736575771925862,0.772123762782625,0.7837381075434308,0.8055287067465687,0.860061919504644,0.7574986366115252,0.7781453302458926,0.5342375124048958,"[[2890, 678], [1334, 4167]]",-1.8642422807413794
base_rdrop,Base RoBERTa + R-Drop,101,0.7819670355852695,0.7794566151867404,0.7898541734768159,0.8160579765423858,0.8582029683112715,0.7778585711688784,0.7872973867019517,0.5497849818061529,"[[2861, 707], [1222, 4279]]",-1.0332964414730528
base_rdrop,Base RoBERTa + R-Drop,102,0.7794940425513437,0.7768013713840005,0.7855286757890738,0.8166462206284798,0.8490973312401884,0.7865842574077441,0.7857536663358694,0.561914213253942,"[[2799, 769], [1174, 4327]]",-1.2805957448656313
base_rdrop,Base RoBERTa + R-Drop,103,0.7614087008501078,0.7627949776627714,0.7752173881145132,0.7889273356401384,0.8647594278283485,0.725322668605708,0.7645826441724556,0.5087661263645386,"[[2944, 624], [1511, 3990]]",-3.0891299149892193
base_rdrop,Base RoBERTa + R-Drop,104,0.791905974515414,0.7918204115966441,0.7919923140757938,0.836122226264096,0.8365787079162875,0.8356662425013633,0.8013011357371265,0.6059102436872864,"[[2670, 898], [904, 4597]]",-0.03940254845860025
dapt_rdrop,DAPT RoBERTa + R-Drop,100,0.800912803567334,0.799327551054938,0.8028509950901712,0.8405370608791614,0.8505490415038154,0.8307580439920015,0.8087992060866689,0.5924578233542839,"[[2765, 803], [931, 4570]]",0.861280356733396
dapt_rdrop,DAPT RoBERTa + R-Drop,101,0.8036950519249081,0.8090024037818073,0.7999485978089593,0.8512073863636364,0.831858407079646,0.8714779131067079,0.8151946190318669,0.6354614621237181,"[[2599, 969], [707, 4794]]",1.1395051924908084
dapt_rdrop,DAPT RoBERTa + R-Drop,102,0.7891642247120034,0.7863530821594614,0.7949628298319995,0.8252683110525325,0.8558875219683656,0.7967642246864206,0.7953467857536664,0.5646708567648032,"[[2830, 738], [1118, 4383]]",-0.31357752879965783
dapt_rdrop,DAPT RoBERTa + R-Drop,103,0.8029804271977643,0.80777034741973,0.7995169090740126,0.8502312344361437,0.8323176040397005,0.8689329212870387,0.8143124931083913,0.6332561473150292,"[[2605, 963], [721, 4780]]",1.0680427197764297
dapt_rdrop,DAPT RoBERTa + R-Drop,104,0.8037521446615403,0.8037372067551389,0.8037671045134069,0.8455594945914008,0.8456363636363636,0.8454826395200873,0.8126585070018745,0.6064615723894586,"[[2719, 849], [850, 4651]]",1.145214466154032
