preset,method,dapt,rdrop,member_mean_macro_f1,member_sd_macro_f1,ensemble_macro_f1,ensemble_macro_precision,ensemble_macro_recall,ensemble_accuracy,delta_member_mean_vs_paper_pp,delta_ensemble_vs_paper_pp,delta_ensemble_vs_base_pp,member_models,human_train_labels,human_validation_labels,unlabeled_dapt_rows,peak_torch_memory_mb,summed_member_elapsed_seconds
base_ce,Base RoBERTa + CE,0,0,0.776088765204466,0.014373630926475051,0.7914747234818493,0.7886458739492443,0.7983375474740426,0.7971110376006175,-1.621123479553399,-0.0825276518150675,0.0,5,140,140,0,1974.09912109375,269.8358580999775
dapt_ce,DAPT RoBERTa + CE,1,0,0.7923445220602666,0.01066621258548968,0.8045166413036474,0.8028609851286819,0.8065550199596812,0.8122174440401367,0.0044522060266616315,1.2216641303647413,1.3041917821798088,5,140,140,21159,1974.09912109375,149.18030929999804
base_rdrop,Base RoBERTa + R-Drop,0,1,0.7776866661389443,0.011235909114091567,0.7937548269797595,0.7909722731430635,0.7988143767990004,0.800198478332782,-1.4613333861055677,0.1454826979759516,0.22801034979101908,5,140,140,0,2208.0400390625,176.30590070000108
dapt_rdrop,DAPT RoBERTa + R-Drop,1,1,0.8001009304127098,0.006221158378339027,0.8059756350933931,0.8072892685768175,0.8048007781707851,0.8155254162531701,0.7800930412709794,1.367563509339309,1.4500911611543765,5,140,140,21159,2208.0400390625,161.86221690000457
