suite,condition,train_rows,test_rows,accuracy,precision,recall,f1,precision_pos,recall_pos,f1_pos,macro_precision,macro_recall,macro_f1,train_seconds,inference_seconds,f1_ci95_low,f1_ci95_high,macro_f1_ci95_low,macro_f1_ci95_high,accuracy_ci95_low,accuracy_ci95_high
full,majority,21159,9069,0.606571838129893,0.606571838129893,1.0,0.7551132463967055,0.606571838129893,1.0,0.7551132463967055,0.3032859190649465,0.5,0.37755662319835276,0.0,0.0,,,,,,
full,content,21159,9069,0.8701069577682214,0.9037922660190547,0.879476458825668,0.8914685830108716,0.9037922660190547,0.879476458825668,0.8914685830108716,0.862687306314156,0.8675689469016232,0.8648721278590876,0.8794073000026401,0.14585889999580104,0.8846924478532343,0.8976186498749399,0.8577334952441326,0.8723214982651687,0.8630499503804168,0.8773872532804058
full,official_only,21159,9069,0.8651449994486713,0.8966988130563798,0.878931103435739,0.887726062609015,0.8966988130563798,0.878931103435739,0.887726062609015,0.8577864475942764,0.8614106189824435,0.8594599947275579,3.4915320000000065,0.7285594999993918,0.8805325882770237,0.8935736478195242,0.8519328056828632,0.8664513747598852,0.8577544381960525,0.8716534347778145
full,content_official,21159,9069,0.8825669864373139,0.9095273264401772,0.8954735502635884,0.9024457268480351,0.9095273264401772,0.8954735502635884,0.9024457268480351,0.8760612268664068,0.879070855849283,0.8774796145665187,4.849497800008976,1.1116678999969736,0.8964369891631782,0.9083024952432773,0.8706825347238402,0.8840277700034695,0.8759510420112471,0.8889651560260228
main,majority,2000,2000,0.6065,0.6065,1.0,0.7550575785869903,0.6065,1.0,0.7550575785869903,0.30325,0.5,0.37752878929349515,0.0,0.0,,,,,,
main,content,2000,2000,0.8215,0.8566666666666667,0.8474855729596042,0.852051388313303,0.8566666666666667,0.8474855729596042,0.852051388313303,0.8127083333333334,0.8144670558571846,0.8135493236462545,0.09919090000039432,0.03322969999862835,0.837266725160391,0.8680960779645107,0.7952600657563337,0.8318111033534054,0.804,0.84
main,official_only,2000,2000,0.8415,0.8745819397993311,0.8623248145094806,0.8684101286841013,0.8745819397993311,0.8623248145094806,0.8684101286841013,0.8334352485066308,0.8358638049675738,0.8345821856494045,0.3054945000039879,0.1447346000059042,0.8540487173006445,0.8831632282953958,0.8183573181115458,0.8523676178774591,0.826,0.858
main,content_official,2000,2000,0.853,0.8851634534786254,0.8705688375927453,0.8778054862842892,0.8851634534786254,0.8705688375927453,0.8778054862842892,0.8453078729598826,0.8482450287074272,0.8466819150367494,0.4634742000052938,0.20277340000029653,0.8641339945629088,0.8915763135946623,0.8308198619945648,0.863136968478905,0.838,0.869
qwen,majority,400,400,0.6075,0.6075,1.0,0.7558320373250389,0.6075,1.0,0.7558320373250389,0.30375,0.5,0.37791601866251945,0.0,0.0,,,,,,
qwen,content,400,400,0.8,0.8273092369477911,0.8477366255144033,0.8373983739837398,0.8273092369477911,0.8477366255144033,0.8373983739837398,0.7911380621825048,0.786925637597966,0.78882905712174,0.01790429999527987,0.006663400010438636,0.8017607055972498,0.8709757266049185,0.7469855548256066,0.8288209164709958,0.76,0.8375
qwen,official_only,400,400,0.8275,0.83984375,0.8847736625514403,0.8617234468937875,0.83984375,0.8847736625514403,0.8617234468937875,0.8226996527777778,0.8118135828680768,0.8162437832475582,0.07450790000439156,0.026328499996452592,0.8259109311740891,0.8920034734917733,0.771855105669231,0.8516705069124425,0.7875,0.8625
qwen,content_official,400,400,0.83,0.8431372549019608,0.8847736625514403,0.8634538152610441,0.8431372549019608,0.8847736625514403,0.8634538152610441,0.8250169033130493,0.814998296243873,0.8191441261735684,0.09631619999709073,0.04362000001128763,0.8275862068965517,0.8948427768207031,0.7758459859052353,0.8563791590201867,0.7875,0.865
qwen,content_context,400,400,0.6475,0.6888888888888889,0.7654320987654321,0.7251461988304093,0.6888888888888889,0.7654320987654321,0.7251461988304093,0.6252136752136752,0.615200125815837,0.6169285001120688,0.10294880000583362,0.04128260001016315,0.6801599068092767,0.7677619815651386,0.5664964751513302,0.6646532361100177,0.6,0.695
qwen,qwen_only,400,400,0.7975,0.8188976377952756,0.8559670781893004,0.8370221327967807,0.8188976377952756,0.8559670781893004,0.8370221327967807,0.7895858051990077,0.781486723808026,0.7848477000617566,0.035480799997458234,0.014109999989159405,0.7999797160243408,0.869752479009916,0.7419014522483693,0.825479752504328,0.7575,0.8375
qwen,content_qwen,400,400,0.8175,0.842741935483871,0.8600823045267489,0.8513238289205702,0.842741935483871,0.8600823045267489,0.8513238289205702,0.8095288624787775,0.8058373306073235,0.8075389371140068,0.04634929999883752,0.02303579999716021,0.8163905857488483,0.8829621647996422,0.7656182672613516,0.8485018655769259,0.7775,0.8550625
